"000","中央銀行國庫局","6位\n繳存國庫款類14位","台北市羅斯福路一段２號","02 23571064"
"004","臺灣銀行","12位\n信用卡14位","台北市重慶南路一段１２０號","02 23493399"
"005","臺灣土地銀行","存款類12位\n放款類13位","台北市館前路４６號","02 23483456"
"006","合作金庫商業銀行","存款類一、放款類一13位","台北市館前路７７號","02 23118811"
"007","第一商業銀行","存款類11位\n代收專戶14位","台北市重慶南路一段３０號","02 23613611"
"008","華南商業銀行","12位","台北市重慶南路一段３８號","02 23713111"
"009","彰化商業銀行","支存類14位\n存款類14位","台中市自由路二段３８號","04 22222001"
"011","上海商業儲蓄銀行","14位","台北市民權東路一段２號","02 25817111"
"012","台北富邦商業銀行","存款類12位\n放款類14位","台北市仁愛路四段１６９號","02 27716699"
"013","國泰世華商業銀行","存款類一12位\n存款類二11位\n存款類三14位","台北市信義區松仁路７號","02 23125555"
"016","高雄銀行","12位","高雄市博愛二路１６８號","07 5570535"
"017","兆豐國際商業銀行","存款類11位\n代收類14位","台北市吉林路１００號","02 25633156"
"018","全國農業金庫","14位","台北市館前路７１號","02 23805100"
"020","日商瑞穗實業銀行台北分行","存款類14位","台北市敦化北路１６７號","02 27153911"
"021","花旗（台灣）商業銀行","信用卡專戶14位\n10位","台北市松智路一號１樓","02 87297100"
"022","美國銀行台北分行","8位\n14位","台北市信義路５段７號４３樓","02 81011288"
"023","泰國盤谷銀行台北分行","存款類、其他業務13位","台北市松江路１２１號","02 25073275"
"025","菲律賓首都銀行台北分行","存款類11位\n外籍勞工約定專戶類13位\n放款類14位","台北市忠孝東路四段１０７號２Ｆ","02 27766355"
"037","法國興業銀行台北分行","12位","台北市民生東路３段１０９號７樓","02 21750000"
"039","荷商荷蘭銀行台北分行","企業金融部 7位\n消費金融部9-14位\n信用卡專戶14位","台北市松仁路７號１８樓","02 87225090/"
"040","中華開發工業銀行","14位","台北市南京東路五段１２５號","02 27638800"
"048","台灣工業銀行","12位","台北市內湖區堤頂大道２段９９號","02 87527000"
"050","臺灣中小企業銀行","11位","台北市塔城街３０號","02 25597171"
"052","渣打國際商業銀行","12位\n11位\n14位","新竹市中央路１０６號六樓","03 5245131"
"053","台中商業銀行","12位","台中市西區民權路８７號","04 22236021"
"054","京城商業銀行","12位","台南市西門路一段５０６號","06 2139171"
"060","兆豐票券金融股份有限公司","14位","台北市衡陽路９１號２－５樓","02 23831616"
"061","中華票券金融股份有限公司","11位","台北市敦化南路二段１４號","02 27021177"
"062","國際票券金融股份有限公司","14位","台北市南京東路二段１６７號９樓","02 25181688"
"066","萬通票券金融股份有限公司","11位","台北市忠孝東路四段５６０號１１Ｆ","02 87802801"
"072","德商德意志銀行台北分行","14位","台北市仁愛路四段２９６號１０Ｆ","02 21924666"
"075","香港商東亞銀行台北分行","14位","台北市敦化北路１６８號１４樓Ａ室","02 25467722"
"076","美商摩根大通銀行台北分公司","存款類14位","台北市信義區信義路５段１０８號８樓","02 27259800"
"078","新加坡商星展銀行台北分行","14位","台北市信義路５段７號２８樓Ｂ區","02 81010598"
"081","香港上海匯豐銀行台北分行","存款類一12位\n存款類二14位","台北市信義區信義路５段８號１Ｆ","02 26527000"
"082","法國巴黎銀行台北分行","11位","台北市信義區信義路五段７號７１～７２樓","02 87583101"
"086","法商東方匯理銀行台北分行","10位","台北市敦化北路１６７號１６樓","02 27158530"
"092","瑞士商瑞士銀行台北分行","10位","台北市松仁路７號５樓","02 87227888"
"093","荷商安智銀行台北分行","存款類一6位\n存款類二12位","台北市復興南路一段２號６樓","02 27347600"
"096","澳商澳洲紐西蘭銀行台北分行","11位","台北市基隆路一段３３３號１２樓１２０８室","02 27577299"
"098","日商三菱東京日聯銀行台北分行","13位","台北市民生東路三段１０９號９Ｆ","02 25140596"
"099","比利時商比利時聯合銀行台北分行","10位","台北市復興北路９９號１５樓","02 27129133"
"101","大台北商業銀行","存款類一13位\n存款類二14位","台北市延平北路二段１３３號","02 25575151"
"102","華泰商業銀行","13位","台北市長安東路二段２４６號","02 27525252"
"103","臺灣新光商業銀行","存款類13位\n放款類14位","台北市忠孝西路１段６６號２７樓","02 21711055"
"104","台北市第五信用合作社","14位","台北市民生西路２２８號","02 25551151"
"106","台北市第九信用合作社","13位","台北市昆明街３２２號","02 23021185"
"108","陽信商業銀行","11位、12位","台北市石牌路一段８８號","02 28208166"
"114","基隆第一信用合作社","13位","基隆市義一路７６號","02 24262301"
"115","基隆市第二信用合作社","11位","基隆市愛二路７８號","02 24202701"
"118","板信商業銀行","存放款類14位","台北縣板橋市文化路一段１１號","02 29689101"
"119","淡水第一信用合作社","存款類13位","台北縣淡水鎮中正路６３號","02 26211211"
"120","台北縣淡水信用合作社（南資會員）","14位","台北縣淡水鎮中正路６７號","02 26212301"
"124","宜蘭信用合作社（南資會員）","14位","宜蘭縣宜蘭市中山路５號","03 9362151"
"127","桃園縣桃園信用合作社","11位","桃園縣桃園市中正路１３３號","03 3321100"
"130","新竹第一信用合作社","14位","新竹市大同路１３０號","03 5233141"
"132","新竹第三信用合作社","13位","新竹市北大路２８２號","03 5263192"
"139","竹南信用合作社","12位","苗栗縣竹南鎮民族街８７號","037476115"
"146","台中市第二信用合作社","14位","台中市中山路２０２號","04 22255155"
"147","三信商業銀行","10位","台中市市府路５９號","04 22245161"
"158","彰化第一信用合作社","14位","彰化縣彰化市中華路１０４號","04 7253825"
"161","彰化第五信用合作社","14位","彰化縣彰化市和平路６７號","04 7251181"
"162","彰化第六信用合作社","13位","彰化縣彰化市彰美路一段１８６號","04 7248031"
"163","彰化第十信用合作社","13位","彰化縣彰化市陳稜路１５６號","04 7231151"
"165","彰化縣鹿港信用合作社","14位","彰化縣鹿港鎮中山路２３４號","04 7782182"
"178","嘉義市第三信用合作社","14位","嘉義市文化路８５號","05 2224087"
"179","嘉義市第四信用合作社","14位","嘉義市中山路４９７號","05 2222358"
"188","台南第三信用合作社","14位","台南市中正路７號","06 2289136"
"203","高雄第二信用合作社","存款類一14位\n存款類二13位","高雄市中正四路１０７號","02 87869888"
"204","高雄市第三信用合作社","14位","高雄市建國三路３２７號","07 2871100"
"215","花蓮第一信用合作社","存款類14位\n放款類13位","花蓮縣花蓮市中山路４７３號","03 8336111"
"216","花蓮第二信用合作社","14位","花蓮縣花蓮市光復街３６號","03 8351161"
"222","澎湖縣第一信用合作社","14位","澎湖縣馬公市民權路５１號","06 9274111"
"223","澎湖第二信用合作社","14位","澎湖縣馬公市仁愛路６１號","06 9273821"
"224","金門縣信用合作社","14位","金門縣金城鎮中興路１４６巷１１號","08 2325261"
"321","日商三井住友銀行台北分行","11位","台北市信義區松智路１號３樓","02 27208100"
"372","大慶票券金融股份有限公司","12位","台北市松江路１５２號１４樓","02 25816666"
"374","台新票券金融股份有限公司","12位","台北市仁愛路４段１１８號９樓","02 23268868"
"503","北農中心所屬會員","","基隆市中正路３９１號","02 29676789"
"504","北農中心所屬會員","","萬里區漁會","02 29676789"
"505","北農中心所屬會員","","蘇澳區漁會","02 29676789"
"506","桃園區漁會","","","03 3792721"
"507","新竹區漁會（聯資會員）","","新竹市東大路四段２７９號","035362320"
"512","雲林區漁會","","雲林縣口湖鄉下崙村漁港路３２２號","05 7721001"
"515","嘉義區漁會","","","07 7439121"
"517","南市區漁會","","","07 7439121"
"518","南縣區漁會","","","07 7439121"
"520","小港區漁會、高雄區漁會","","","07 7439121"
"521","彌陀區漁會；永安區漁會；興達港區漁會；","","梓官區漁會；林園區漁會","07 7439121"
"523","枋寮區漁會；東港區漁會；林邊區漁會","","","07 7439121"
"524","新港區漁會","","","07 7439121"
"525","澎湖區漁會","","","07 7439121"
"603","北農中心所屬會員","","","02 29676789"
"605","高雄市農會","13位","高雄市三民區民族一路７７號","07 3119151"
"606","北農中心所屬會員","","五股農林口農泰農八里農金農淡水農店農","02 29676789"
"607","北農中心所屬會員","","","02 29676789"
"608","桃園農八德農大園農大溪農平鎮農新屋農楊梅","","龍潭農龜山農蘆竹農","03 3792721"
"609","北農中心所屬會員","","桃園縣中壢市建國路３５號","02 29676789"
"610","北農中心所屬會員","","新埔農；關西農；新豐農；芝林農","02 29676789"
"611","北農中心所屬會員","","","02 29676789"
"612","神岡","","台中縣","04 25620022"
"613","名間本會","","南投縣名間鄉中正村彰南路２６號","07 7439121"
"614","永靖農員林農秀水農二林農","","芳苑農埔心農竹塘農埤頭農","07 7439121"
"616","莿桐；褒忠；崙背；古坑；二崙；四湖；西螺","","口湖；大埤；斗六；台西；","07 7439121"
"617","竹崎鹿草嘉市民雄溪口梅山義竹東石番路","","大林太保大埔朴子六腳水上布袋新港","07 7439121"
"618","永康西港六甲善化鹽水北門佳里將軍新營歸仁","","","07 7439121"
"619","大社仁武大樹橋頭湖內路竹阿蓮燕巢杉林甲仙","","梓官茄萣大寮彌陀永安岡山鳥松林園內門等","07 7439121"
"620","林邊恆春萬丹新園車城里港枋山麟洛滿州","","枋寮長治南州屏東市高樹佳冬新埤","07 7439121"
"621","壽豐本會；吉安本會；新秀本會；富里本會","","","07 7439121"
"622","池上成功長濱關山鹿野東河太麻里台東地區","","","07 7439121"
"623","北農中心所屬會員","","景美區農","02 29676789"
"624","澎湖縣農會","","澎湖縣馬公市大勇路３０號","07 7439121"
"625","台中市農會","存款類13位","台中市向上路一段９５號","04 23023560"
"627","連江縣農會","","連江縣馬祖南竿介壽村２２０號","08 3622127"
"700","中華郵政股份有限公司","存簿類14位\n劃撥類 8位","台北市金山南路二段５５號","02 23931261"
"803","聯邦商業銀行","存款類12位\n電子商務繳款類14位","台北市承德路一段１０５號","02 25568500"
"805","遠東國際商業銀行","14位","台北市敦化南路二段２０５號","02 23786868"
"806","元大商業銀行","14位","台北市松山區敦化南路１段６６號","02 21736699"
"807","永豐商業銀行","14位","台北市南京東路三段３６號","02 25063333"
"808","玉山商業銀行","13位","台北市民生東路三段１１７號","02 27191313"
"809","萬泰商業銀行","12位","台北市敦化南路二段３９號","02 27011777"
"810","星展銀行－原寶華銀行","12位","台北市松山區南京東路五段１６１號","02 27567585"
"812","台新國際商業銀行","14位","台北市中山北路二段４４號","02 25683988"
"814","大眾商業銀行","存放款類12位\n繳款類14位","台北市信義路５段２號３樓","02 87869888"
"815","日盛國際商業銀行","14位","台北市重慶南路一段１０號","02 23889888"
"816","安泰商業銀行","14位","台北市民生東路三段１５８號","02 27189999"
"822","中國信託商業銀行","存、放款類12、13位亦可\n代收業務類12-14位","台北市松壽路３號","02 27222002"
"901","大里市農會","","台中縣大里市新興路１０１號","04 24062131"
"903","臺北縣汐止市農會","11位","台北縣汐止市新台五路一段２０７號","02 26416666"
"904","臺北縣新莊市農會","14位","台北縣新莊市中正路８０號","02 29917171"
"910","財團法人農漁會聯合資訊中心","14位","桃園縣蘆竹鄉文中路一段１０７號２Ｆ","03 3791319"
"912","冬山鄉農會","","宜蘭縣冬山鄉冬山路一段８８８號","03 9591122"
"916","草屯鎮農會","","南投縣草屯鎮草溪路１０６１號","0492333151"
"922","台南市農會","13位","台南市成功路４３４號","06 2206623"
"928","板橋市農會電腦共用中心","13位","台北縣板橋市府中路２９號","02 89656868"
"950","財金資訊股份有限公司","","台北市康寧路三段８１號","02 26319800"
"951","台北縣農會附設北區農會電腦共同利用中心","14位","台北縣板橋市縣民大道一段２９１號８樓","02 29676789"
"952","財團法人農漁會南區資訊中心","14位","高雄縣鳳山市中山西路３１６號五樓","07 7439121"
"954","財團法人農漁會中區資訊中心","14位","台中縣霧峰鄉四德路１０號５Ｆ","04 23334800"
"961","國防部主計局同袍儲蓄會","","台北市信義路二段２１３號８樓","02 23952309"
"995","關貿網路股份有限公司","14位","台北市南港區三重路１９－１３號６樓","02 26551188"
"996","財政部台北區支付處","","台北市南海路１號一樓","02 23957500"
"997","中華民國信合社聯合社南區聯合資訊處理中心","14位","台南市南區美南街２１號７樓","06 2912111"
"998","財團法人金融聯合徵信中心","","台北市重慶南路一段２號１０Ｆ","02 23813939"
"999","台北市票據交換所","","台北市南海路３號二樓","02 23922111"